coverage,risk
8.819999999999999715e-03,2.403628117913832185e-01
8.840000000000000635e-03,2.420814479638009054e-01
8.859999999999999820e-03,2.415349887133182716e-01
8.880000000000000740e-03,2.409909909909909997e-01
8.899999999999999925e-03,2.404494382022471788e-01
8.920000000000000845e-03,2.421524663677130096e-01
8.940000000000000030e-03,2.416107382550335692e-01
8.959999999999999215e-03,2.410714285714285754e-01
8.980000000000000135e-03,2.405345211581291776e-01
8.999999999999999320e-03,2.399999999999999911e-01
9.020000000000000240e-03,2.394678492239467882e-01
9.039999999999999425e-03,2.389380530973451433e-01
9.060000000000000345e-03,2.384105960264900625e-01
9.079999999999999530e-03,2.378854625550660684e-01
9.100000000000000450e-03,2.373626373626373520e-01
9.119999999999999635e-03,2.368421052631578816e-01
9.140000000000000555e-03,2.363238512035011063e-01
9.159999999999999740e-03,2.358078602620087283e-01
9.180000000000000659e-03,2.352941176470588203e-01
9.199999999999999845e-03,2.347826086956521785e-01
9.220000000000000764e-03,2.342733188720173554e-01
9.239999999999999949e-03,2.337662337662337608e-01
9.259999999999999135e-03,2.332613390928725827e-01
9.280000000000000054e-03,2.349137931034482873e-01
9.299999999999999239e-03,2.365591397849462485e-01
9.320000000000000159e-03,2.360515021459227425e-01
9.339999999999999344e-03,2.355460385438972182e-01
9.360000000000000264e-03,2.350427350427350404e-01
9.379999999999999449e-03,2.345415778251599137e-01
9.400000000000000369e-03,2.340425531914893664e-01
9.419999999999999554e-03,2.335456475583864155e-01
9.440000000000000474e-03,2.351694915254237406e-01
9.459999999999999659e-03,2.346723044397462932e-01
9.480000000000000579e-03,2.341772151898734167e-01
9.499999999999999764e-03,2.357894736842105210e-01
9.520000000000000684e-03,2.373949579831932666e-01
9.539999999999999869e-03,2.368972746331236834e-01
9.560000000000000789e-03,2.364016736401673702e-01
9.579999999999999974e-03,2.379958246346555450e-01
9.599999999999999159e-03,2.395833333333333426e-01
9.620000000000000079e-03,2.390852390852390985e-01
9.639999999999999264e-03,2.385892116182572742e-01
9.660000000000000184e-03,2.380952380952380820e-01
9.679999999999999369e-03,2.376033057851239805e-01
