coverage,risk
1.907091750841750834e-03,0.000000000000000000e+00
1.920244107744107677e-03,0.000000000000000000e+00
1.933396464646464736e-03,0.000000000000000000e+00
1.946548821548821579e-03,0.000000000000000000e+00
1.959701178451178638e-03,0.000000000000000000e+00
1.972853535353535481e-03,0.000000000000000000e+00
1.986005892255892323e-03,0.000000000000000000e+00
1.999158249158249166e-03,0.000000000000000000e+00
2.012310606060606008e-03,0.000000000000000000e+00
2.025462962962962851e-03,0.000000000000000000e+00
2.038615319865319693e-03,0.000000000000000000e+00
2.051767676767676969e-03,0.000000000000000000e+00
2.064920033670033812e-03,0.000000000000000000e+00
2.078072390572390654e-03,0.000000000000000000e+00
2.091224747474747497e-03,0.000000000000000000e+00
2.104377104377104339e-03,0.000000000000000000e+00
2.117529461279461182e-03,0.000000000000000000e+00
2.130681818181818024e-03,0.000000000000000000e+00
2.143834175084175300e-03,0.000000000000000000e+00
2.156986531986532143e-03,0.000000000000000000e+00
2.170138888888888985e-03,0.000000000000000000e+00
2.183291245791245828e-03,0.000000000000000000e+00
2.196443602693602670e-03,0.000000000000000000e+00
2.209595959595959513e-03,0.000000000000000000e+00
2.222748316498316355e-03,0.000000000000000000e+00
2.235900673400673198e-03,0.000000000000000000e+00
2.249053030303030474e-03,0.000000000000000000e+00
2.262205387205387316e-03,0.000000000000000000e+00
2.275357744107744159e-03,0.000000000000000000e+00
2.288510101010101001e-03,0.000000000000000000e+00
2.301662457912457844e-03,0.000000000000000000e+00
2.314814814814814686e-03,0.000000000000000000e+00
2.327967171717171529e-03,0.000000000000000000e+00
2.341119528619528805e-03,0.000000000000000000e+00
2.354271885521885647e-03,0.000000000000000000e+00
2.367424242424242490e-03,0.000000000000000000e+00
2.380576599326599332e-03,0.000000000000000000e+00
2.393728956228956175e-03,0.000000000000000000e+00
2.406881313131313017e-03,0.000000000000000000e+00
2.420033670033669860e-03,0.000000000000000000e+00
2.433186026936027136e-03,0.000000000000000000e+00
2.446338383838383979e-03,0.000000000000000000e+00
